NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
SOUTHBRIDGE PUBLIC SCHOOL DISTRICT,41 ELM ST,SOUTHBRIDGE,MA,01550,2645,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
HARRINGTON MEMORIAL HOSPITAL,100 SOUTH ST,SOUTHBRIDGE,MA,01550,4051,25027,WORCESTER,1122,HOSPITALS,501-750,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,27.3,VHA Inc,MedAssets Supply Chain Systems,"9,971"
ATLANTIC UNION COLLEGE,PO BOX 1000,SOUTH LANCASTER,MA,01561,1000,25027,WORCESTER,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
4-H CAMP MARSHALL,92 MCCORMICK RD,SPENCER,MA,01562,1221,25027,WORCESTER,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
ST JOSEPHS INSTITUTE OF THEOLOGY,167 N SPENCER RD,SPENCER,MA,01562,1232,25027,WORCESTER,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,101 TO 250,,,,
SPENCER EAST BROOKFIELD REG SCHL DIST,306 MAIN ST,SPENCER,MA,01562,1841,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
STERLING SENIOR CENTER,PO BOX 243,STERLING,MA,01564,0243,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
STERLING NURSERY SCHOOL,123 ROWLEY HILL RD,STERLING,MA,01564,2119,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
STERLING HEALTH CARE CENTER,18 DANA HILL RD,STERLING,MA,01564,2414,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,139,,,
STURBRIDGE COUNCIL ON AGING-SENIOR CTR,PO BOX 746,STURBRIDGE,MA,01566,0746,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
UPTON SENIOR CENTER,PO BOX 610,UPTON,MA,01568,0610,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BLACKSTONE VALLEYVOC REG TECH SCH DIST,65 PLEASANT ST,UPTON,MA,01568,1431,25027,WORCESTER,1122,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,
LYDIA TAFT HOUSE,60 QUAKER HWY,UXBRIDGE,MA,01569,1628,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,48,,,
UXBRIDGE SENIOR CENTER,36 S MAIN ST,UXBRIDGE,MA,01569,1838,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
UXBRIDGE PUBLIC SCHOOL DISTRICT,21 S MAIN ST,UXBRIDGE,MA,01569,1851,25027,WORCESTER,1122,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
COMMERCE INSURANCE CHILDCARE CENTER,58 BIGELOW RD,WEBSTER,MA,01570,2130,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
THE COLONIEL HEALTH GROUP-TCU,340 THOMPSON RD,WEBSTER,MA,01570,1509,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,13,,,
OAKWOOD REHAB AND NURSING CENTER,11 PONTIAC AVE,WEBSTER,MA,01570,1629,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,76,,,
WEBSTER MANOR,745 SCHOOL ST,WEBSTER,MA,01570,2924,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,135,PREMIER,,
LANESSA EXTENDED CARE,751 SCHOOL ST,WEBSTER,MA,01570,2924,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,95,,,
WEBSTER SENIOR CENTER,116 SCHOOL ST,WEBSTER,MA,01570,4310,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NICHOLS COLLEGE,PO BOX 5000,DUDLEY,MA,01571,5000,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,
DUDLEY-CHARLTON REGIONAL SCHOOL DISTRICT,68 DUDLEY OXFORD RD,DUDLEY,MA,01571,6116,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
CHAUNCY HALL ACADEMY RESIDENTIAL TRTMNT,187 LYMAN ST,WESTBOROUGH,MA,01581,2630,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WESTBOROUGH STATE HOSPITAL,PO BOX 288,WESTBOROUGH,MA,01581,0288,25027,WORCESTER,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,194.7,UHC (University HealthSystem Consortium),,"71,053"
MULBERRY CHILD CARE AND PRESCHOOL,95 E MAIN ST,WESTBOROUGH,MA,01581,1414,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
BEAUMONT REHABILITATION SKILLED NURSING,1 LYMAN ST,WESTBOROUGH,MA,01581,1437,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,147,,,
WESTBORO SENIOR CENTER,4 ROGERS RD,WESTBOROUGH,MA,01581,1450,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEXT GENERATION CHILDRENS CENTER,4600 COMPUTER DR,WESTBOROUGH,MA,01581,1721,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
J HARDING ARMSTRONG ELEMENTARY SCHOOL,50 WEST ST,WESTBOROUGH,MA,01581,2530,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
WESTBORO AREA JEWISH COMM PRESCHOOL,45 OAK ST,WESTBOROUGH,MA,01581,2634,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SPECTRUM HOUSE PRIMARY CARE-AODA PRGMS,PO BOX 1208,WESTBOROUGH,MA,01581,6208,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WHITTIER REHABILITATION HOSPITAL,PO BOX 1250,WESTBOROUGH,MA,01581,6250,25027,WORCESTER,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
OAKDALE REHABILITATION,76 N MAIN ST,WEST BOYLSTON,MA,01583,1130,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78,,,
WEST BOYLSTON COUNCIL ON AGING-SR CTR,120 PRESCOTT ST,WEST BOYLSTON,MA,01583,1106,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WORCESTER CO HOUSE OF CORR-SHERIFFS DEPT,5 PAUL X TIVNAN DR,WEST BOYLSTON,MA,01583,2126,25027,WORCESTER,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WEST BROOKFIELD SENIOR CENTER,PO BOX 207,WEST BROOKFIELD,MA,01585,0207,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
QUABOAG ON THE COMMON,47 E MAIN ST,WEST BROOKFIELD,MA,01585,2906,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128,,,
ST CAMILLUS HEALTH CENTER,447 HILL ST,WHITINSVILLE,MA,01588,1016,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,114,PREMIER,,
NORTHBRIDGE SENIOR CENTER,20 HIGHLAND ST,WHITINSVILLE,MA,01588,2102,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUTTON PUBLIC SCHOOLS,383 BOSTON RD,SUTTON,MA,01590,1823,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
SUTTON SENIOR CENTER,19 HOUGH RD,SUTTON,MA,01590,2711,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WORCESTER PUBLIC INEBRIATE PRGM-AODA SVC,PO BOX 17078,WORCESTER,MA,01601,7078,25027,WORCESTER,,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GOLDEN LIVING CENTER-WORCHESTER,383 MILL ST,WORCESTER,MA,01602,2414,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,94,,,
WORCESTER STATE COLLEGE,486 CHANDLER ST,WORCESTER,MA,01602,2861,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,,,,
G STANLEY HALL SCHOOL,4 MANN ST,WORCESTER,MA,01602,3414,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
FAIRLAWN REHABILITATION HOSPITAL,189 MAY ST,WORCESTER,MA,01602,4339,25027,WORCESTER,1122,HOSPITALS,1-250,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,73.6,Foodbuy,CHA Shared Services Program,"26,851"
JEREMIAHS INN-SUBSTANCE ABUSE TREATMENT,PO BOX 30035,WORCESTER,MA,01603,0035,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HEARD STREET DISCOVERY ACADEMY,200 HEARD ST,WORCESTER,MA,01603,1742,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
HOME FOR AGED WOMEN WASHBURN HOUSE,1183 MAIN ST,WORCESTER,MA,01603,2012,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
SEVEN HILLS ADULT DAY HEALTH PROGRAM,81 HOPE AVE,WORCESTER,MA,01603,2212,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,
CANTERBURY STREET ELEMENTARY SCHOOL,129 CANTERBURY ST,WORCESTER,MA,01603,2834,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
COMM HEALTHLINK YOUTH-FAMILY SRVS AODA,275 BELMONT ST,WORCESTER,MA,01604,1675,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WORCESTER STATE HOSPITAL,305 BELMONT ST,WORCESTER,MA,01604,1681,25027,WORCESTER,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,120.4,UHC (University HealthSystem Consortium),MHA (Managed Healthcare Associates),"43,964"
YOU INC-SUBSTANCE ABUSE TREATMENT PRGMS,81 PLANTATION ST,WORCESTER,MA,01604,3069,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SAINT FRANCIS HOME,101 PLANTATION ST,WORCESTER,MA,01604,3025,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,129,,,
BLAIRE HOUSE OF WORCESTER,116 HOUGHTON ST,WORCESTER,MA,01604,3938,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,71,,,
RADIUS HEALTHCARE CENTER AT WORCESTER,119 PROVIDENCE ST,WORCESTER,MA,01604,4429,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,123,,,
GUILD OF ST AGNES-GRANITE STREET DAYCARE,133 GRANITE ST,WORCESTER,MA,01604,4500,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SPECTRUM HEALTH SYS OTPTNT SVCS-AODA,585 LINCOLN ST,WORCESTER,MA,01605,1906,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
AUTUMN VILLAGE,25 ORIOL DR,WORCESTER,MA,01605,1911,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,142,,,
NOTRE DAME LONG TERM CARE CENTER,559 PLANTATION ST,WORCESTER,MA,01605,2350,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,121,,,
KEY PROGRAM,104 LINCOLN ST,WORCESTER,MA,01605,2407,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ADCARE HOSPITAL OF WORCESTER,107 LINCOLN ST,WORCESTER,MA,01605,2401,25027,WORCESTER,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,>2000,99.2,Foodbuy,,"36,205"
UNIV OF MASSACHUSETTS MEM REHABILITATION,15 BELMONT ST,WORCESTER,MA,01605,2650,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
H L WILLIS STARTING POINT RSDNTL TRTMNT,25 CATHARINE ST,WORCESTER,MA,01605,2709,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CHRISTOPHER HOUSE OF WORCESTER,10 MARY SCANO DR,WORCESTER,MA,01605,2884,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,153,PREMIER,,
WORCESTER TECHNICAL HIGH SCHOOL,1 SKYLINE DR,WORCESTER,MA,01605,2885,25027,WORCESTER,1122,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
UMASS MEMORIAL MEDICAL CENTER,119 BELMONT ST,WORCESTER,MA,01605,2903,25027,WORCESTER,1122,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,UNCODED,>2000,,,,
WINTER HILL REST HOME,24 CHESTER ST,WORCESTER,MA,01605,3121,25027,WORCESTER,1122,ASSISTED LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,
LINDA FAY GRIFFIN HOUSE-SBSTNC ABUSE SVC,15 NORTHAMPTON ST,WORCESTER,MA,01605,3415,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
GREAT BROOK VALLEY HEALTH CENTER-AODA,19 TACOMA ST,WORCESTER,MA,01605,3516,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUMMIT ELDERCARE-FALLON ADULT DAY CARE,277 E MOUNTAIN ST,WORCESTER,MA,01606,1207,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
CLARK STREET DEVELOPMENTAL LEARNING CTR,280 CLARK ST,WORCESTER,MA,01606,1219,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
KNOLLWOOD NURSING CENTER,87 BRIARWOOD CIR,WORCESTER,MA,01606,1225,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,76,,,
BURNCOAT STREET PREPARATORY SCHOOL,526 BURNCOAT ST,WORCESTER,MA,01606,1426,25027,WORCESTER,1122,SECONDARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,
QUINSIGAMOND COMMUNITY COLLEGE,670 W BOYLSTON ST,WORCESTER,MA,01606,2064,25027,WORCESTER,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,
FAITH HOUSE-SUBSTANCE ABUSE TREATMENT,142 BURNCOAT ST,WORCESTER,MA,01606,2406,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
E ORTHODOX HOLY TRINITY NURSING REHB CTR,300 BARBER AVE,WORCESTER,MA,01606,2476,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,105,,,
ODD FELLOWS HOME OF MA,104 RANDOLPH RD,WORCESTER,MA,01606,2465,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,82,,,
ABBY KELLEY FOSTER CHARTER PUBLIC SCH,10 NEW BOND ST,WORCESTER,MA,01606,2699,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,
THE SALTER SCHOOL,155 ARARAT ST,WORCESTER,MA,01606,3421,25027,WORCESTER,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
VERNON HILL ELEM4ENTARY SCHOOL,211 PROVIDENCE ST,WORCESTER,MA,01607,1109,25027,WORCESTER,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
YOUTH OPPORTUNITIES UPHELD RES TRTMNT,129 BLACKSTONE RIVER RD,WORCESTER,MA,01607,1491,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SAINT VINCENT HOSPITAL,123 SUMMER ST,WORCESTER,MA,01608,1216,25027,WORCESTER,1122,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,201.0,HealthTrust Purchasing Group (HPG),Broadlane Inc,"73,365"
HENRY L WILLIS COMMUNITY CTR-OTPTNT AODA,44 FRONT ST,WORCESTER,MA,01608,1742,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
YWCA CHILDCARE CENTER,1 SALEM SQ,WORCESTER,MA,01608,2015,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
JEWISH HEALTHCARE CENTER,629 SALISBURY ST,WORCESTER,MA,01609,1120,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138,,,
ASSUMPTION COLLEGE,500 SALISBURY ST,WORCESTER,MA,01609,1265,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,RELIGIOUS,>2000,,,,
WEST SIDE HOUSE,35 FRUIT ST,WORCESTER,MA,01609,2127,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,85,,,
WORCESTER POLYTECHNIC INSTITUTE,100 INSTITUTE RD,WORCESTER,MA,01609,2247,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PRIVATE,>2000,,,,
WORCESTER PUBLIC SCHOOL DISTRICT,20 IRVING ST,WORCESTER,MA,01609,2467,25027,WORCESTER,1122,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
FAMILY SERVICES OF CENTRAL MA EAS-AODA,31 HARVARD ST,WORCESTER,MA,01609,2836,25027,WORCESTER,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LUTHERAN HOME OF WORCESTER,26 HARVARD ST,WORCESTER,MA,01609,2833,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,92,,,
CLARK UNIVERSITY,950 MAIN ST,WORCESTER,MA,01610,1400,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,>2000,,,,
COLLEGE OF THE HOLY CROSS,1 COLLEGE ST,WORCESTER,MA,01610,2322,25027,WORCESTER,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,RELIGIOUS,>2000,,Foodbuy,,
ST MARY HEALTH CARE,39 QUEEN ST,WORCESTER,MA,01610,2433,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,119,PREMIER,,
